Cell,Age group 0,Age group 1,Age group 2,Age group 3,Age group 4,Age group 5,Age group 6,Age group 7,Age group 8,Age group 9,Age group 10,Age group 11,Age group 12,Age group 13,Age group 14,Age group 15,Age group 16
186,0,0,0,0,3,0,5,0,0,0,0,1,1,2,2,1,2
187,0,0,0,0,0,2,0,0,0,1,0,2,2,0,0,0,0
188,0,0,0,0,1,0,0,0,0,0,0,1,2,0,0,1,1
189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
190,0,0,0,0,2,0,2,0,1,3,0,2,3,2,1,0,3
191,0,0,0,1,0,0,3,0,1,0,3,3,1,0,0,2,0
192,1,0,0,1,3,4,0,4,1,3,1,1,5,1,0,2,2
193,0,0,0,0,2,0,1,5,0,1,2,4,1,0,0,0,0
194,0,1,4,2,3,7,7,12,12,19,9,10,8,3,4,4,8
195,0,3,0,2,7,11,7,5,8,11,7,7,3,7,7,3,11
196,0,1,0,1,3,1,5,7,4,4,3,4,2,0,2,2,5
197,4,5,3,14,15,7,23,34,43,40,18,21,10,18,19,16,16
198,5,8,12,18,28,27,37,57,76,51,48,38,28,24,20,17,25
199,2,6,2,0,16,20,10,18,24,18,17,8,10,11,16,11,12
200,0,0,0,0,0,0,4,2,3,4,1,3,4,2,2,0,3
201,0,0,0,0,3,2,0,0,1,0,1,1,0,0,0,1,0
202,0,0,0,0,8,10,6,3,10,9,6,9,6,2,2,2,7
203,9,9,9,11,27,27,28,27,66,34,33,22,10,16,14,19,26
204,9,15,13,15,52,52,67,75,107,95,75,60,50,49,36,34,49
205,4,6,6,6,13,21,29,46,44,57,23,35,28,21,14,20,27
206,4,2,1,2,11,10,19,10,30,22,37,16,15,14,5,13,25
207,1,1,0,5,8,2,11,13,16,8,14,15,8,2,4,8,9
208,4,2,3,3,7,11,10,13,14,17,16,17,10,7,11,3,7
209,1,3,4,3,7,14,11,18,19,16,17,11,11,8,4,5,3
210,0,0,0,0,1,5,2,2,1,1,4,4,1,3,0,0,4
211,10,6,6,4,18,31,38,40,53,43,44,38,23,11,22,19,24
212,3,2,3,0,6,3,2,4,7,6,3,5,5,2,8,1,3
213,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
214,0,0,0,0,0,0,2,0,0,0,1,3,1,1,0,3,1
215,3,4,1,5,12,9,12,21,20,14,17,14,9,12,10,11,12
216,2,5,6,12,7,13,19,22,28,33,22,30,19,9,4,19,17
217,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0,0
218,3,9,10,8,21,25,34,44,44,33,36,33,30,22,19,22,26
219,4,0,3,1,8,7,12,16,20,12,13,16,10,6,11,6,16
220,0,1,1,6,7,10,9,10,7,14,5,18,6,7,3,4,9
221,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
